STU_ID,SCH_ID,F3ERN2011,F3C02,F3EVRGED,F3EVERDO,BYMOTHED,BYS14,BYRACE,BYP61,F3ATTAINMENT,BYTXCSTD,BYSES1,F3JUNEDSTAT,F3REGION,F3B35
150217,1502,15000,30,0,0,3,2,7,1,5,50.4,-0.19,1,2,0
150218,1502,52000,45,0,0,2,1,7,-4,2,60.97,-0.7,4,2,0
150219,1502,35000,40,0,0,1,1,3,1,3,35.19,-0.4,2,2,0
150220,1502,0,-3,0,1,3,2,3,-4,1,46.27,-0.25,4,2,-3
150221,1502,25000,90,0,0,2,1,7,-4,3,43.96,-0.49,3,2,0
150222,1502,20000,38,0,0,5,2,7,0,4,44.13,-0.08,3,2,0
150223,1502,22000,40,0,0,3,2,7,0,3,55.6,0.11,3,2,1
150224,1502,20000,20,0,0,2,2,7,0,10,58.96,-0.26,3,3,1
150226,1502,32000,-7,0,0,2,2,7,0,6,45.51,-0.9,3,2,-7
151101,1511,10000,37,0,0,4,2,7,0,5,37.6,0.2,1,2,1
151103,1511,60000,40,0,0,2,2,7,0,6,47.77,-0.59,3,2,1
151104,1511,12000,40,0,0,5,1,7,1,6,52.43,0.75,3,2,1
151105,1511,-4,-4,0,0,3,2,7,1,-4,54.05,0.12,-4,-4,-4
151106,1511,22000,40,1,1,4,1,3,0,3,33.33,-0.17,3,2,1
151107,1511,30000,-7,0,0,2,2,3,1,5,38.18,-0.42,2,2,-7
151108,1511,20000,60,0,0,2,1,3,-4,6,32.4,-0.08,3,2,1
151110,1511,8000,25,0,0,6,1,7,0,3,66.49,-0.18,3,2,1
151111,1511,35000,-7,0,0,4,1,6,0,4,43.64,-0.4,3,2,-7
151113,1511,1500,30,0,0,2,2,7,-4,4,43.19,-0.52,3,2,0
151114,1511,40000,40,0,0,6,2,7,0,6,72.21,0.89,1,2,0
151115,1511,0,-3,0,0,8,2,3,-4,3,49.15,0.6,1,2,-3
151117,1511,38000,50,0,0,2,2,7,0,8,57.67,-1.25,3,2,1
151118,1511,24000,55,0,0,4,1,7,0,6,58.44,0.49,1,2,1
151120,1511,7000,25,0,0,6,2,7,1,3,40.79,0.96,3,2,1
151121,1511,52000,40,0,0,6,2,7,0,6,62.56,1.29,3,2,1
151123,1511,22000,50,0,0,2,2,7,-4,4,55.21,0.39,1,2,1
151124,1511,-4,-4,0,0,2,2,7,1,-4,41.88,-0.49,-4,-4,-4
151127,1511,55000,42,0,0,2,1,7,0,3,64.1,0.28,1,3,1
151128,1511,3500,30,0,0,3,2,3,-4,3,49.04,-0.01,1,2,-3
151129,1511,0,-3,0,0,5,2,3,1,3,42.67,0.03,1,2,1
151201,1512,55000,-7,0,0,6,2,2,-7,6,50.94,0.26,3,2,-7
151202,1512,62000,45,0,0,6,1,1,0,3,54.94,-0.01,1,1,1
151203,1512,55000,-7,0,0,2,2,7,-7,8,60.21,-1.26,3,4,-7
151205,1512,250000,50,0,0,3,1,7,0,3,55.41,0.48,3,2,0
151206,1512,18000,-7,0,0,5,1,3,0,3,42.17,0.43,3,2,-7
151207,1512,9000,20,0,0,3,2,7,-4,3,38.96,-0.39,3,2,0
151208,1512,38000,40,0,0,3,2,7,0,8,50.96,-0.28,3,2,0
151209,1512,18000,40,0,0,2,2,7,0,2,39.47,-0.22,4,2,0
151210,1512,8000,40,0,0,2,1,7,0,3,48.64,-0.42,3,2,0
151211,1512,15000,30,0,0,2,2,7,0,3,46.44,-0.33,3,2,0
151213,1512,-8,-8,1,1,2,1,3,-4,-8,40.13,-0.54,-8,-8,-8
151214,1512,54000,40,0,0,2,1,7,-4,2,46.17,-0.46,4,2,0
151216,1512,0,-7,0,0,2,2,7,-4,2,59.31,-0.56,4,4,-7
151217,1512,-4,-4,0,1,3,1,7,-7,-4,27.42,-0.18,-4,-4,-4
151218,1512,20000,24,0,0,2,2,7,0,6,53.93,0.05,3,2,1
151219,1512,90000,40,0,0,2,1,7,0,2,46.15,-0.21,4,2,0
151220,1512,29000,-9,0,0,5,1,7,0,3,60.89,-0.14,3,3,0
151221,1512,16000,80,0,0,2,2,7,1,3,40,-0.69,3,2,0
151222,1512,0,-7,0,0,3,2,2,-4,4,33.11,0,2,2,-7
152101,1521,14000,40,0,0,3,1,7,0,6,63.7,-0.01,3,3,1
152102,1521,28000,45,0,0,3,1,7,0,6,64.92,0.2,3,2,0
152103,1521,65000,40,0,0,1,1,5,-7,2,28.28,-1.13,4,2,0
152104,1521,22000,30,0,0,6,1,2,0,8,54.07,1.04,3,2,0
152105,1521,12000,40,0,0,4,2,7,1,3,56.56,0.58,3,2,0
152106,1521,100,30,0,0,3,2,7,0,3,49.02,-0.39,3,2,1
152107,1521,22000,-7,0,0,1,1,7,1,3,42.22,-0.72,3,2,-7
152108,1521,4000,20,0,0,7,1,7,0,6,64.29,1.21,3,2,0
152109,1521,20000,30,0,0,5,2,7,0,6,48.61,0.76,3,2,1
152110,1521,22000,50,0,0,7,2,7,0,3,69.19,1.24,3,2,0
152111,1521,30000,40,0,0,3,2,7,0,6,59.13,0.8,3,3,1
152112,1521,15000,40,0,0,3,1,7,-4,5,60.21,0.09,1,2,0
152113,1521,23000,40,0,0,6,1,6,-4,4,37.67,-0.58,3,2,1
152114,1521,13000,8,0,0,3,2,5,0,6,66.76,0.83,1,3,1
152115,1521,80000,-7,0,0,2,1,7,0,6,59.81,-0.34,3,4,-7
152116,1521,13000,35,0,0,8,2,7,0,3,43.14,0.66,1,2,0
152117,1521,16000,-7,0,0,6,2,7,1,3,55.06,0.6,3,2,-7
152118,1521,42000,40,0,0,4,2,6,1,6,65.15,0.01,3,2,1
152120,1521,22000,-7,0,0,1,2,3,1,2,34.24,-0.69,4,2,-7
152121,1521,700,40,0,0,5,2,7,0,6,60.48,0.68,1,2,-3
152122,1521,41000,50,0,0,2,1,2,0,6,58.94,0.03,3,2,1
152123,1521,44000,35,0,0,3,2,7,0,8,48.54,0.09,3,2,1
152124,1521,44000,50,0,0,2,2,7,0,3,60.66,-0.11,1,2,0
152125,1521,60000,50,1,1,1,1,7,0,3,34.31,-0.15,1,2,0
152126,1521,55000,40,0,0,2,2,7,0,6,45.02,-0.65,1,2,1
152127,1521,60000,52,0,0,7,1,7,0,6,50.87,1.31,3,3,1
152128,1521,35000,40,0,0,1,1,2,0,2,51.23,-0.31,4,2,1
152129,1521,50000,45,0,0,6,1,7,0,5,52.69,0.75,3,2,0
152161,1521,0,-3,0,0,-8,-8,-8,-8,5,-8,-8,1,2,-3
152201,1522,50000,50,0,0,7,1,2,-4,3,63.75,0.2,3,4,1
152202,1522,7000,50,0,0,2,1,7,0,3,37.44,-0.08,1,2,1
152203,1522,31000,40,0,0,6,2,6,0,6,56.29,1.05,3,2,0
152205,1522,-4,-4,0,0,6,2,2,-4,-4,71.25,0.78,-4,-4,-4
152206,1522,12000,40,0,0,2,2,7,0,3,52.03,0.13,3,2,0
152207,1522,40000,60,0,0,7,1,7,-4,6,55.4,1.18,3,4,1
152208,1522,5000,24,0,0,2,1,7,0,6,56.21,-0.07,1,1,-3
152209,1522,85000,50,0,0,6,2,7,0,6,64.63,1.08,3,2,0
152210,1522,50000,50,0,0,-4,-4,-4,-4,6,49.99,-4,3,2,1
152211,1522,-4,-4,0,0,3,1,3,1,-4,33.97,0.45,-4,-4,-4
152212,1522,63000,40,0,0,7,-8,-8,0,6,-8,-8,3,2,0
152213,1522,0,-3,0,0,7,2,2,0,3,64.74,1.39,1,2,-3
152214,1522,1500,80,0,0,6,2,7,0,6,66.59,1.37,3,2,1
152215,1522,0,-7,0,0,7,1,2,0,8,72.06,1.27,-9,4,-7
152216,1522,0,-7,0,0,7,1,7,-4,3,45.94,1.36,3,2,-7
152217,1522,48000,52,0,0,6,2,7,-4,8,60.57,0.5,3,2,0
152218,1522,80000,28,0,0,2,2,7,-7,4,38.08,-0.07,3,2,1
152219,1522,27000,45,0,0,5,2,7,0,6,50.95,0.53,3,2,0
152220,1522,0,-3,0,0,6,2,7,1,10,64.69,1.06,3,2,1
152221,1522,0,-3,0,0,6,2,7,0,10,66.68,0.89,3,2,1
152222,1522,50000,45,0,0,6,1,2,0,6,69.82,1.37,1,2,0
152223,1522,65000,40,0,0,6,2,2,0,3,69.37,1.23,3,2,1
152224,1522,-4,-4,0,0,2,-8,-8,0,-4,-8,-8,-4,-4,-4
152225,1522,55000,40,0,0,4,1,5,0,8,51.93,1.07,3,2,0
