,STU_ID,SCH_ID,F3ERN2011,F3C02,F3EVRGED,F3EVERDO,BYMOTHED,BYS14,BYRACE,BYP61,F3ATTAINMENT,BYTXCSTD,BYSES1,F3JUNEDSTAT,F3REGION,F3B35,female,no_parent,moth_ed_1,moth_ed_2,moth_ed_3,moth_ed_4,moth_ed_5,moth_ed_6,moth_ed_7,moth_ed_8,region_1,region_2,region_3,region_4,high_school_grad,ged,BYRACE2,Other,Asian,Black,Hispanic,White,post_sec_edu,income_log
252,105217,1052,44000,38,0,0,4,2,7,0,6,44.84,0.39,3,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,1,4,10.69194491
255,105220,1052,47000,45,0,0,2,1,7,0,2,51.56,-0.58,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,10.75790288
256,105221,1052,11000,60,1,1,2,2,7,1,2,42.43,-0.83,4,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,7,0,0,0,0,1,0,9.305650552
257,105226,1052,30000,65,0,0,2,1,7,0,8,58.83,-0.68,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,1,6,10.30895266
258,105227,1052,20000,40,0,0,7,2,7,0,6,60,0.7,3,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,7,0,0,0,0,1,4,9.903487553
260,106101,1061,40000,45,0,0,6,2,7,0,6,58.24,1.13,3,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,10.59663473
261,106102,1061,5000,40,0,0,6,2,7,0,10,53.39,0.74,3,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,7,0,0,0,0,1,8,8.517193191
262,106103,1061,7000,60,0,0,3,1,7,0,6,49.5,0.89,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,8.853665428
263,106104,1061,72000,40,0,0,6,2,7,0,8,61.92,0.63,3,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,7,0,0,0,0,1,6,11.1844214
265,106106,1061,22000,30,0,0,1,2,6,1,2,44.93,-1.06,4,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,9.998797732
269,106110,1061,25000,60,0,0,5,2,7,0,3,35.18,0.55,3,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,10.1266311
272,106113,1061,48000,40,0,0,2,1,7,0,2,57.37,-0.37,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,10.77895629
273,106114,1061,38000,35,0,0,2,2,7,0,8,61.08,0.34,3,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,1,6,10.54534144
274,106115,1061,6000,60,0,0,6,1,7,0,8,66.58,0.64,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,7,0,0,0,0,1,6,8.699514748
278,106124,1061,35000,40,0,0,2,1,7,1,5,51.55,0.51,3,3,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,1,2,10.46310334
280,106126,1061,48000,42,0,0,2,2,7,0,6,50.53,-0.1,3,3,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,1,4,10.77895629
281,106127,1061,50000,40,0,0,3,2,7,0,6,58.01,0.35,3,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,10.81977828
282,106128,1061,37000,40,0,0,4,2,7,0,6,60.5,0.65,3,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,1,4,10.51867319
285,106202,1062,65000,40,0,0,2,1,7,0,6,61.15,-0.37,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,11.08214255
