STU_ID,SCH_ID,F3ERN2011,F3C02,BYTXCSTD,BYSES1,female,no_parent,moth_ed_1,moth_ed_2,moth_ed_3,moth_ed_4,moth_ed_5,moth_ed_6,moth_ed_7,moth_ed_8,region_1,region_2,region_3,region_4,high_school_grad,ged,Other,Asian,Black,Hispanic,White,post_sec_edu,income_log
102204,1022,55000,50,66.11,0.53,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,6,10.91508846
102207,1022,22000,45,44.54,-1.2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,9.998797732
102208,1022,23000,80,58.09,0.61,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,4,10.04324949
102210,1022,26000,40,24.73,-0.99,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,10.16585182
102212,1022,20000,35,33.79,0.79,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,9.903487553
102215,1022,30000,45,65.32,0.92,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,4,10.30895266
102217,1022,23000,45,45.44,0.55,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,4,10.04324949
102219,1022,70000,50,60.64,-0.91,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,4,11.15625052
103101,1031,42000,40,64.53,0.98,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,4,10.6454249
103104,1031,54000,38,57.22,0.06,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,6,10.89673933
103107,1031,30000,45,44.79,0.52,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10.30895266
103108,1031,80000,80,55.92,0.8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,4,11.28978191
